FID	IID	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	wolbachia	stringsAsFactors
line_101	line_101	0.0263013188731676	-0.00446928660142062	-0.0117814937788431	0.0360995045175518	-0.0192959863857107	0.0147098383155048	0.00381800576565962	0.0418344501700221	0.017765914552321	-0.000551072265798297	0	FALSE
line_105	line_105	0.0355771308125064	0.0411103074636898	-0.00177232153906672	-0.00684886843784314	-0.0276031814994841	0.0343856563418258	0.0351522716272626	-0.00896704159845209	-0.0338636972310545	0.0265985679492386	0	FALSE
line_109	line_109	0.0247895075273851	-0.00374303737503157	-0.0265039421269615	0.0218427904886707	-0.0210133947004422	0.0216128055175351	-0.0161594711171042	0.00418261618681281	0.0111569696994485	-0.000199011233705583	0	FALSE
line_129	line_129	0.0415022531379339	0.00539042085324206	0.00737298899787437	0.0115697526086598	-0.000834176829583712	0.028237640436381	-0.0117472050941076	-0.0305681490724374	-0.00779730061103054	0.031289589067648	0	FALSE
line_136	line_136	0.0119122831118621	0.0144110735614484	0.0220501451984426	0.00179051680166296	-0.00611231432565203	0.00829616660869505	0.00517034992139841	-0.0154846031288733	-0.00459110055308247	0.0148367933352917	1	FALSE
line_138	line_138	0.0337886396167471	0.0473790547639853	0.003608315772427	0.00655341849259949	-0.0328040724899381	0.0360431113214607	-0.00100839431739276	-0.0197701356379671	-0.0168108002056784	0.0554872019230184	0	FALSE
line_142	line_142	0.0242438993205917	0.017058244662259	0.0063237402021304	0.0308909228972966	-0.0143550591737349	0.0478628575628433	-0.00392750096481505	0.0260239033622885	-0.0108440011986374	0.0300260169292931	1	FALSE
line_149	line_149	0.0239900608454439	0.0146065116462905	0.0138844857187138	0.00709246805226091	-0.0176118599541937	0.0262323315265975	0.0120536444392373	-0.000344732568685144	0.0107876804729485	0.0202952932108446	1	FALSE
line_153	line_153	0.0250406759994487	0.0127684378288647	0.00640198548541188	-0.0171982847610979	0.00537995471454291	0.0155261808263646	-0.0268035451122068	-0.0190157346959019	-0.0145449667934374	0.00409418278831098	1	FALSE
line_158	line_158	0.0211806684639265	0.020441931196756	0.0128323272674218	0.013047397069631	0.0131444981298397	0.0156076557960262	-0.0114037330747552	0.00594090441815492	0.0148442668612478	0.0214295443235979	0	FALSE
line_161	line_161	0.00727858106845111	-0.14123393098068	-0.165757539914208	0.0471431041186236	0.00744146474482069	0.00376364141322816	-0.00366107310873069	0.00818327007270963	-0.00523347658155519	-0.0396225710821546	0	FALSE
line_176	line_176	0.0249584907317714	0.0293750527029061	0.00868878882748021	0.000353139793714826	-0.0177418399239628	0.011640390578011	-0.0247736376769548	0.00193374810423855	-0.00256864092039144	0.0620159460788038	1	FALSE
line_177	line_177	0.0232043187185969	0.0254794002883309	-0.0053285322322927	0.0217383291213236	-0.0261838250148168	0.0375114054778693	-0.000963761884436417	0.0134798277028396	-0.0346981810245035	0.0234774740198954	0	FALSE
line_181	line_181	0.0307079058098703	0.00803211073985641	0.00439004379534332	-0.00335528458783661	-0.0290223280392174	0.0213793062920491	-0.0242487154458799	-0.0566987711023698	0.012576751180553	0.03520484242421	1	FALSE
line_189	line_189	0.0360307455079809	0.0444869924849005	-0.0209747848886049	0.00341771549069348	-0.0323715344802219	0.0813593394472443	-0.0293207559010365	-0.00433033828012636	0.00534887482980427	0.0379239743299766	1	FALSE
line_195	line_195	0.012510221789911	0.0199194239865724	0.000152651060374155	0.0117055250127916	-0.0302330801003559	0.027781200561199	-0.0171513216043279	-0.023177900302827	-0.0217146614663528	0.0234560327619256	0	FALSE
line_208	line_208	0.0395265978100084	0.0360635351485001	-0.00678711888593442	0.0288084468882087	-0.0196068866200499	0.0580871479412271	-0.0271965165529386	0.00918401652971473	-0.0471376686465329	0.0343826936816431	0	FALSE
line_217	line_217	0.0247919874471967	0.027818120734047	0.0050699824788113	0.0273224487068423	-0.00125392825250575	0.033267172960543	-0.0319434906034328	0.0139016863543985	0.00436172256490153	0.0464239923695689	0	FALSE
line_223	line_223	0.0327405201903918	0.0217066064068268	-0.0109873901988868	0.0409130299901403	0.0100389391842923	0.0435486383240653	-0.020947045948894	0.0231516395097016	-0.0376818493055527	0.016966874482199	1	FALSE
line_227	line_227	0.0219324375049063	0.0326972188129441	-0.00106378602196648	0.00356122620169394	-0.0064584428694227	0.0228699516041621	0.00731240028484369	-0.00516797436531157	0.0152082394442723	0.0280925160540864	1	FALSE
line_228	line_228	0.0321470007897941	0.0317889770855984	-0.00445607314114136	0.0258724297834189	-0.009146928482166	0.0151478521208108	-0.0240065679001391	-0.0203074956692925	0.0115225377844499	0.0358839665416647	0	FALSE
